,Plant,0:00:00,0:30:00,1:00:00,1:30:00,2:00:00,2:30:00,3:00:00,3:30:00,System_Initialize,4:30:00,5:00:00,5:30:00,6:00:00,6:30:00,7:00:00,7:30:00,8:00:00,8:30:00,9:00:00,9:30:00,10:00:00,10:30:00,11:00:00,11:30:00,Lunch_Break,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,Date
337,WCP_ST,50,50,50,50,50,50,50,50,50,50,50,50,50,50,65,80,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2020 - 07 - 9.
394,WCP_ST,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,7/25/2020
415,WCP_ST,100,100,100,100,100,95.616,92.991,97.491,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7/29/2020
421,WCP_ST,100,100,97.048,93.298,71,71,82,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7/28/2020
442,WCP_ST,60,75,70.078,72.47,63.035,60.684,65.109,63.084,78.084,93.084,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7/23/2020
460,WCP_ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 4.
500,WCP_ST,50,49.554,38.717,36,38.042,44.398,47,36,50,65,80,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7/20/2020
524,WCP_ST,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7/15/2020
532,WCP_ST,0,0,0,0,0,0,15,30,38.092,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,2020 - 07 - 6.
571,WCP_ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 5.
603,WCP_ST,45,50,47,50,50,46.733,47,47,50,65,80,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7/21/2020
685,WCP_ST,50,50,50,38.611,50,43.861,40.861,38.986,50,65,80,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7/27/2020
799,WCP_ST,100,100,94,94,98.421,96.921,97.296,94,94,99.252,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7/18/2020
818,WCP_ST,45,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,7/12/2020
871,WCP_ST,45,50,47,50,50,46.733,47,47,50,65,80,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7/13/2020
961,WCP_ST,65,80,94,94,94,94,94,94,94,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,82,7/10/2020
1019,WCP_ST,89.969,82,67,82,61.719,56.469,52.344,44.844,59,74,89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,59,7/17/2020
1076,WCP_ST,50,50,50,48.041,50,44.892,46.767,50,36,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,7/19/2020
1094,WCP_ST,0,0,0,0,0,0,15,30,44.309,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,7/26/2020
1129,WCP_ST,50,50,50,50,49.443,46.068,39.318,44.568,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,2020 - 07 - 3.
34,WPS     ,22.96,22.96,0,0,0,0,0,0,0,0,0,10,26.814,26.814,26.814,26.814,28.85,10,10,10,10,10,39.667,39.667,39.667,24.246,24.246,10,10,10,10,10,10,10,0,0,0,16.515,28.962,28.962,10,10,0,0,0,0,0,0,2020 - 07 - 4.
189,WPS     ,0,0,0,0,0,0,0,0,0,0,37.201,37.201,37.201,30.741,0,0,0,0,0,0,0,0,0,0,10,19.744,10,0,0,0,0,0,0,0,0,0,0,47.172,47.172,47.172,47.172,47.172,0,0,0,0,0,0,7/19/2020
234,WPS     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.172,47.172,47.172,47.172,47.172,16.825,16.825,16.825,10,10,0,0,0,10,10,0,0,0,0,0,24.818,14.199,14.199,14.199,14.199,10,0,7/20/2020
243,WPS     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.91,18.91,18.91,0,0,0,0,0,0,0,0,0,0,0,0,16.463,47.241,47.241,47.241,47.241,47.241,36.844,0,0,0,0,7/12/2020
286,WPS     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.806,44.806,44.806,47.31,47.31,0,0,0,0,0,0,12,47.31,47.31,40.535,10,0,47.31,47.31,47.31,47.31,47.31,10,10,0,0,0,7/27/2020
334,WPS     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.237,23.237,23.237,23.237,43.522,43.522,43.522,31.279,31.279,31.279,10,28.783,10,10,10,37.706,37.706,37.706,10,0,0,0,0,0,0,0,0,0,0,0,0,7/16/2020
348,WPS     ,0,0,0,0,0,0,0,0,0,0,0,0,10,32,0,0,39.912,39.912,39.912,39.912,34.753,34.753,34.753,34.753,34.753,34.753,0,0,0,0,0,0,0,0,0,0,0,32.532,45.841,45.841,0,0,0,0,0,0,0,0,7/23/2020
373,WPS     ,23.388,10,0,0,0,0,0,0,0,0,0,10,32.832,32.832,10,10,10,33.568,33.568,21.638,21.638,21.638,27.812,27.812,27.812,10,10,10,18.7,18.7,18.7,18.7,18.7,18.7,10,10,10,10,18.61,18.61,0,0,0,0,0,0,0,0,2020 - 07 - 3.
378,WPS     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.306,39.306,39.306,39.306,0,30.67,30.67,0,0,0,0,0,47.172,47.172,47.172,41.08,38.918,10.626,10,10,0,0,0,7/14/2020
397,WPS     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,35.459,35.459,35.459,32.428,32.428,0,0,0,0,0,0,0,0,0,0,0,47.241,47.241,47.241,18.991,18.991,0,0,10,10,10,0,2020 - 07 - 6.
467,WPS     ,10,10,0,0,0,0,0,0,0,0,0,0,10,18.801,18.801,0,0,0,0,21.236,21.236,36.272,36.272,47.172,22.239,22.239,22.239,22.239,22.239,22.239,22.239,22.239,22.239,22.239,0,0,0,0,47.172,27.375,27.375,0,0,0,0,0,0,0,7/22/2020
