,Plant,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,Date
0,WPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.241,47.241,10.0,0.0,10.0,10.0,0.0,10.0,40.05,0.0,0.0,0.0,0.0,0.0,10.0,25.176,28.076,28.076,0.0,0.0,0.0,47.241,47.241,47.241,47.241,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2020 - 07 - 10
1,Canyon,28.065,11.04,11.04,0.0,0.0,0.0,0.0,0.0,11.04,11.04,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,19.7,2020 - 07 - 10
2,Olax,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,37.62,37.62,37.62,25.87,30.684,30.684,30.684,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,10.0,54.0,54.0,54.0,38.82,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2020 - 07 - 10
3,Nlax,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,64.431,64.431,77.874,60.472,60.472,60.472,60.472,60.472,60.472,60.472,80.756,100.79,71.915,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,2020 - 07 - 10
4,Polp,78.479,43.419,28.77,28.77,15.62,15.62,15.62,7.2701,7.2701,38.314,38.314,46.209,46.209,33.05,33.05,33.05,51.68,69.36,67.342,67.342,67.342,67.342,67.342,67.342,68.784,68.784,41.26,78.479,78.479,78.479,54.647,55.771,55.771,55.771,55.771,55.771,13.104,78.479,78.479,78.479,78.479,65.29,38.314,38.314,38.314,38.314,38.314,38.314,2020 - 07 - 10
5,Upper Kothmale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.486,58.486,55.222,89.922,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,144.95,88.2,88.2,88.2,61.659,61.659,2020 - 07 - 10
6,Koth,32.986,30.986,29.586,27.486,26.636,26.386,26.286,25.636,27.186,30.736,37.186,9.7556,13.176,12.426,44.986,47.286,53.436,58.136,59.136,59.636,59.386,60.386,61.336,62.386,61.086,58.136,55.436,60.045,61.345,76.738,58.536,59.236,59.336,58.886,55.936,54.386,60.586,46.6,69.63,38.989,69.286,64.536,59.436,54.186,47.036,39.786,35.836,33.136,2020 - 07 - 10
7,Vict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.258,67.758,67.758,67.758,67.758,67.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
8,Rand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,43.0,43.0,62.186,90.236,90.236,90.236,90.236,90.236,96.673,96.673,96.673,71.307,71.307,71.307,62.757,43.0,43.0,43.0,43.22,96.673,96.673,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
9,Rant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
10,Uku,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,20.0,20.0,2020 - 07 - 10
11,Bowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,26.7,35.864,27.667,27.667,27.667,27.667,25.45,0.0,0.0,35.864,35.864,35.864,35.864,35.864,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
12,Sam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.004,88.819,88.819,10.189,10.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,69.99,69.99,0.0,0.0,0.0,0.0,2020 - 07 - 10
13,Kukule,74.999,32.518,28.567,0.0,0.0,0.0,0.0,0.0,0.0,46.407,51.72,51.72,74.999,71.909,71.909,71.909,74.999,74.999,74.999,74.999,74.999,74.999,74.999,74.999,74.999,74.999,43.224,0.0,0.0,0.0,74.999,74.999,74.999,74.999,74.999,74.999,74.999,74.999,74.999,74.999,74.999,74.999,74.999,74.999,51.72,51.72,51.72,51.72,2020 - 07 - 10
14,LVPS 1,270.0,266.57,266.57,263.27,263.27,260.52,256.62,256.62,258.03,258.03,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,2020 - 07 - 10
15,LVPS 2,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,2020 - 07 - 10
16,LVPS 3,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,2020 - 07 - 10
17,KPS(GT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
18,CEB_EMERGENCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
19,KPS(GT7),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
20,Sapu A,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,11.0,0.0,0.0,2020 - 07 - 10
21,Sapu B,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,42.0,42.0,2020 - 07 - 10
22,Asia Power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
23,Barge,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,54.3093,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,50.509,34.0,34.0,2020 - 07 - 10
24,ACE Matara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
25,ACE EMBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,42.839999999999996,20.2593,0.0,0.0,0.0,2020 - 07 - 10
26,NORTHERN_Power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
27,Uthuru Janani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,20.0,20.0,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,2020 - 07 - 10
28,KCCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
29,KCCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
30,KCCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
31,KCCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
32,Sojitz CCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
33,WCP,36.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,55.0,2020 - 07 - 10
34,WCP,74.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,2020 - 07 - 10
35,WCP,65.0,80.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.0,2020 - 07 - 10
36,VPOWER Palle.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
37,VPOWER Galle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
38,ALTAQQA-Mahi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
39,ALTAQQA-Pol.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
40,VPOWER Hamb.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
41,VPOWER Horona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
0,WPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,26.796,26.796,26.796,26.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.241,47.241,47.241,47.241,47.241,20.098,20.098,20.098,10.0,0.0,2020 - 07 - 11
1,Canyon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,11.03,11.03,11.03,11.03,11.03,11.03,30.0,30.0,30.0,30.0,17.922,17.922,17.922,17.922,17.922,17.922,17.922,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,25.173,25.173,25.173,25.173,25.173,25.173,25.173,2020 - 07 - 11
2,Olax,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,31.943,31.943,31.943,20.943,36.973,36.973,36.973,36.973,36.973,19.632,19.632,19.632,19.632,19.632,40.278,43.2,43.2,43.2,43.2,43.2,43.2,54.0,54.0,54.0,35.827,35.827,35.827,20.622,20.622,10.0,10.0,2020 - 07 - 11
3,Nlax,20.157,20.157,20.157,20.157,20.157,20.157,20.157,20.157,20.157,20.157,20.157,20.157,42.719,42.719,42.719,36.689,36.689,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,42.746,85.257,100.79,100.79,100.79,100.79,38.62,38.62,38.62,38.62,38.62,20.157,2020 - 07 - 11
4,Polp,23.8,8.1489,6.1039,6.1039,6.1039,6.1039,6.1039,6.1039,6.1039,6.1039,13.843,28.768,45.725,45.725,45.725,45.725,45.725,45.725,33.725,33.725,33.725,33.725,54.535,54.535,54.535,40.807,40.807,40.807,40.807,50.807,44.807,44.807,44.807,45.807,45.807,45.807,45.807,45.807,78.479,78.479,78.479,78.479,78.479,78.479,39.24,39.24,39.24,39.24,2020 - 07 - 11
5,Upper Kothmale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.394,55.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.394,146.29,146.29,146.29,143.96,138.63,69.774,63.219,0.0,0.0,0.0,2020 - 07 - 11
6,Koth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.31,50.31,28.977,28.977,64.783,64.783,64.783,83.783,83.783,83.783,83.783,83.783,83.783,83.783,83.783,69.313,69.313,69.313,69.313,69.313,69.313,69.313,69.313,69.313,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 11
7,Vict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.68,145.68,145.68,145.68,40.0,40.0,40.0,40.0,40.0,40.0,40.0,2020 - 07 - 11
8,Rand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,43.0,57.194,57.194,57.194,57.194,57.194,57.194,57.194,57.194,57.194,43.0,43.0,43.0,43.0,43.0,43.0,75.076,75.076,75.076,95.076,95.076,43.0,43.0,43.0,43.0,62.0,62.0,43.0,43.0,43.0,43.0,0.0,0.0,2020 - 07 - 11
9,Rant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2020 - 07 - 11
10,Uku,36.0,23.33,20.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,2020 - 07 - 11
11,Bowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,15.864,35.864,35.864,35.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.864,35.864,35.864,35.864,33.363,33.363,33.363,0.0,0.0,0.0,2020 - 07 - 11
12,Sam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 11
13,Kukule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.567,28.567,28.567,28.567,28.567,28.567,28.567,28.567,28.567,39.096,39.096,38.096,38.096,38.096,29.567,28.567,28.567,28.567,29.845,29.845,29.845,29.845,29.845,28.567,59.985,59.985,59.985,59.985,59.985,59.985,59.985,59.985,28.567,28.567,28.567,2020 - 07 - 11
14,LVPS 1,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,2020 - 07 - 11
15,LVPS 2,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,2020 - 07 - 11
16,LVPS 3,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,2020 - 07 - 11
17,KPS(GT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 11
18,CEB_EMERGENCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 11
19,KPS(GT7),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 11
20,Sapu A,54.0,54.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,2020 - 07 - 11
21,Sapu B,54.0,54.0,54.0,54.0,54.0,43.438900000000004,42.0,43.438900000000004,42.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,2020 - 07 - 11
